allometry_ID,group,subgroup,Family,taxonID,Genus and species,Common name,FIA Species Code,Wood specific gravity,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,"Reference Number
 (Global Wood Density DB)",Initials and References Used/Other Notes,Excluding Factor
,,,Sapindaceae,MEBI,Melicoccus bijugatus,,,,,,,,,SR- SPG not known; non-native,non-native
,,,Sapotaceae,SISA6,Sideroxylon salicifolium,White bully,,0.860,,,,,118,"SM - spg added from Zanne et al. Global wood density database. Assigned North America value, Ref 118.",Tropical
,,,Sapotaceae,SIOB,Sideroxylon obovatum,Breakbill,,0.860,,,,,44,SM - spg added from Zanne et al. Global wood density database,Puerto Rico Only
W1,woodland,Cupressaceae,Cupressaceae,JUOS,J. osteosperma,"Juniper, Utah",65,0.54,8,85,8 – 85,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Scrophulariaceae,PATO2,Paulownia tomentosa,Princesstree,,0.28,,,,,32,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced
W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACCO2,Acacia constricta,,,,,,,,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACGR,Acacia greggii,,,,,,,,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,CEMI6,Cercidium microphyllum,"Paloverde, yellow",none,0.6,10,25,10 – 25,,,NB: USDA currently recognizes this as Parkinsonia microphylla (PAMI5) ,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,PAFL6,Parkinsonia florida,,,,,,,,,SR - SPG not known; Woodland allometry based on classifcation of other palo verde,
,,,Theophrastaceae,JABE,Jacquinia berteroi,,,,,,,,,SR- SPG not known,Puerto Rico
W2,woodland,Fabaceae/Rosaceae,Fabaceae,PRGL2,Prosopis glandulosa,Honey mesquite,,0.705,,,,,6,SM - spg added from Zanne et al. Global wood density database. Assigned North American value SR- allometry assigned based on multiple stem growth form and desert distribution. Could also be H9,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,PROSO,Prosopis spp. ,Mesquite,755,0.78,3,60,3 – 60,,,,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,PRVE,Prosopis velutina,,,,,,,,,"SR - SPG not specifically known, but suggest using the PROSO value. Woodland allometry based on dryland distribution",
W2,woodland,Fabaceae/Rosaceae,Fabaceae,SEGR4,Senegalia greggii,,,,,,,,,SR- SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,
W2,woodland,Fabaceae/Rosaceae,Fabaceae,VACO9,Vachellia constricta ,"Acacia, whitethorn",,,,,,,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,
W2,woodland,Fabaceae/Rosaceae,Rosaceae,CELE3,Cercocarpus ledifolius,Mountain mahogany,475,0.81,5,56,5 – 56,,,,
W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOG,Cercocarpus montanus var. glaber,"Mountain mahogany, birchleaf",,0.81,,,,,,Added by kj - based on worldagroforstr.org; SR- SPG based on other C. montanus,
W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOP,C. montanus var. pauciden,Mountain Mahogany,477,0.81,3,5,3 – 5,,,,
W2,woodland,Fabaceae/Rosaceae,Rosaceae,PUST,Purshia stansburiana,,,,,,,,,SR- SPG not known; W2 chosen due to distribution in arid regions and similarity of growth form to Cercocarpus spp.,
W3,woodland,Fagaceae,Fagaceae,QUCH2,Quercus (live) spp. (**should this be Q. chrysolepis?),"Oak, evergreen spp. (**Oak, canyon live)",850,0.58,9,74,9 – 74,,,"assumes drc, may require dbh to drc conversion",
W3,woodland,Fagaceae,Fagaceae,QUDO,Q. douglasii,"Oak, blue",807,0.59,15,50,15 – 50,,,,
W3,woodland,Fagaceae,Fagaceae,QUGA,Q. gambelii,"Oak, Gambel",814,0.61,3,32,3 – 32,,,,
W3,woodland,Fagaceae,Fagaceae,QUHY,Q. hypoleucoides,"Oak, silverleaf",843,0.59,4,37,4 – 37,,,,
W3,woodland,Fagaceae,Fagaceae,QUWI2,Quercus (live) spp. (**should this be Q. wislizeni?),"Oak, evergreen spp. (**Oak, interior live)",850,0.58,9,74,9 – 74,,,"assumes drc, may require dbh to drc conversion",
W4,woodland,Pinaceae,Pinaceae,PICE,Pinus cembroides,"Pine, pinyon",140,0.51,4,19,4 – 19,,,,
,,,Zygophyllaceae,GUOF,Guaiacum officinale,Roughbark lignum-vitae,,1.2,,,,,110,"JG, spg added from Zanne et al. Global wood density database. South American Value, near mean of 3 spg values.","Tropical, Florida and Puerto Rico only"
,,,Zygophyllaceae,GUSA,Guaiacum sanctum,Holywood,,1.1,,,,,111,"JG, spg added from Zanne et al. Global wood density database. Central Amercia Value","Tropical, Florida and Puerto Rico only"
W4,woodland,Pinaceae,Pinaceae,PIED,P. edulis,"Pine, pinyon",106,0.51,5,45,5 – 45,,,,
W4,woodland,Pinaceae,Pinaceae,PIMO,P. monophylla,"Pine, pinyon singleleaf",133,0.51,3,75,3 – 75,,,,
,,,Fagaceae,QUERCSPP,Quercus spp,,,,,,,,,"SR -This allometry assignment would be highly dependent on where the oak occurs and whether it is evergreen, deciduous, or scrub oak",
,,,Myrtaceae,EURH,Eugenia rhombea,,,,,,,,,SR - SPG not known,Tropical
