"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"110","AGHY","AGHY","Poaceae","Agrostis","hyemalis","C3","Agrostis hyemalis (Walt.) B.S.P.","winter bentgrass","7,278","N"
"111","AGAN2","AGHY","","Agrostis","antecedens","unknown","Agrostis antecedens Bickn."," ","","N"
"112","COHY2","AGHY","","Cornucopiae","hyemalis","unknown","Cornucopiae hyemalis Walt."," ","","N"
"113","AGID","AGID","Poaceae","Agrostis","idahoensis","unknown","Agrostis idahoensis Nash","Idaho bentgrass","","N"
"114","AGBOR","AGID","","Agrostis","borealis","unknown","Agrostis borealis Hartman var. recta (Hartman) Boivin"," ","","N"
"115","AGCL4","AGID","","Agrostis","clavata","unknown","Agrostis clavata auct. non Trin."," ","","N"
"116","AGFI3","AGID","","Agrostis","filicumis","unknown","Agrostis filicumis M.E. Jones"," ","","N"
"117","AGLI","AGLI","Poaceae","Agropogon","littoralis","unknown","Agropogon littoralis (Sm.) C.E. Hubbard","coast agropogon","","I"
"118","POLI5","AGLI","","Polypogon","littoralis","unknown","Polypogon littoralis Sm."," ","","I"
"119","AGOR3","AGPE","","Agrostis","oreophila","unknown","Agrostis oreophila Trin."," ","","N"
"120","COPE7","AGPE","","Cornucopiae","perennans","unknown","Cornucopiae perennans Walt."," ","","N"
"121","AGSC6","AGPE","","Agrostis","schweinitzii","unknown","Agrostis schweinitzii Trin."," ","","N"
"122","AGPEA","AGPE","","Agrostis","perennans","unknown","Agrostis perennans (Walt.) Tuckerman var. aestivalis Vasey"," ","","N"
"123","AGPE","AGPE","Poaceae","Agrostis","perennans","C3","Agrostis perennans (Walt.) Tuckerman","upland bentgrass","7,65,90","N"
"124","AGEL5","AGPE","","Agrostis","elata","unknown","Agrostis elata (Pursh) Trin."," ","","N"
"125","AGPEE","AGPE","","Agrostis","perennans","unknown","Agrostis perennans (Walt.) Tuckerman var. elata (Pursh) A.S. Hitchc."," ","","N"
"126","AGAL8","AGPE","","Agrostis","altissima","unknown","Agrostis altissima (Walt.) Tuckerman"," ","","N"
"127","AGROP2","AGROP2","Poaceae","Agropyron","Gaertn.","","Agropyron Gaertn.","wheatgrass","","I"
"128","AGROP3","AGROP3","Poaceae","Agropogon","Fourn.","","Agropogon Fourn.","agropogon","","I"
"129","AGROS2","AGROS2","Poaceae","Agrostis","L.","","Agrostis L.","bentgrass","","UNK"
"130","AGHYT","AGSC5","","Agrostis","hyemalis","unknown","Agrostis hyemalis (Walt.) B.S.P. var. tenuis (Tuckerman) Gleason"," ","","N"
"131","AGSCS4","AGSC5","","Agrostis","scabra","unknown","Agrostis scabra Willd. ssp. septentrionalis (Fern.) A.& D. Löve"," ","","N"
"132","AGGE2","AGSC5","","Agrostis","geminata","unknown","Agrostis geminata Trin."," ","","N"
"133","AGSC5","AGSC5","Poaceae","Agrostis","scabra","C3","Agrostis scabra Willd.","rough bentgrass","7,65,90,183","N"
"134","AGSCG","AGSC5","","Agrostis","scabra","unknown","Agrostis scabra Willd. var. geminata (Trin.) Swallen"," ","","N"
"135","AGSCS","AGSC5","","Agrostis","scabra","unknown","Agrostis scabra Willd. var. septentrionalis Fern."," ","","N"
"136","AGHYG","AGSC5","","Agrostis","hyemalis","unknown","Agrostis hyemalis (Walt.) B.S.P. var. geminata (Trin.) A.S. Hitchc."," ","","N"
"137","AGSTC","AGST2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. var. compacta Hartman"," ","","I"
"138","AGST2","AGST2","Poaceae","Agrostis","stolonifera","C3","Agrostis stolonifera L.","creeping bentgrass","30,48,54,563","I"
"139","AGSTP","AGST2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. var. palustris (Huds.) Farw."," ","","I"
"140","AGMA10","AGST2","","Agrostis","maritima","unknown","Agrostis maritima Lam."," ","","I"
"141","AGALS","AGST2","","Agrostis","alba","unknown","Agrostis alba L. var. stolonifera (L.) Sm."," ","","I"
"142","AGALP","AGST2","","Agrostis","alba","unknown","Agrostis alba L. var. palustris (Huds.) Pers."," ","","I"
"143","AGPA17","AGST2","","Agrostis","palustris","unknown","Agrostis palustris Huds."," ","","I"
"144","AGVA","AGVA","Poaceae","Agrostis","variabilis","unknown","Agrostis variabilis Rydb.","mountain bentgrass","","N"
"145","AICA","AICA","Poaceae","Aira","caryophyllea","C3","Aira caryophyllea L.","silver hairgrass","340,472","I"
"146","ASCA22","AICAC2","","Aspris","caryophyllea","unknown","Aspris caryophyllea (L.) Nash"," ","","I"
"147","AICAC","AIEL4","","Aira","caryophyllea","unknown","Aira caryophyllea L. var. capillaris (Host) Mutel"," ","","I"
"148","AIEL4","AIEL4","Poaceae","Aira","elegans","unknown","Aira elegans Willd. ex Kunth","annual silver hairgrass","","I"
"149","ASCA23","AIEL4","","Aspris","capillaris","unknown","Aspris capillaris (Host) A.S. Hitchc."," ","","I"
"150","AIELA","AIEL4","","Aira","elegans","unknown","Aira elegans Willd. ex Kunth ssp. ambigua (Arcang.) Holub"," ","","I"
"151","AICA3","AIEL4","","Aira","capillaris","unknown","Aira capillaris Host, non Savi"," ","","I"
"152","AIEL2","AIEL4","","Aira","elegantissima","unknown","Aira elegantissima Schur"," ","","I"
"153","AIRA","AIRA","Poaceae","Aira","L.","","Aira L.","hairgrass","","I"
"154","ALAE","ALAE","Poaceae","Alopecurus","aequalis","unknown","Alopecurus aequalis Sobol.","shortawn foxtail","","N"
"155","ALAR5","ALAEA","","Alopecurus","aristulatus","unknown","Alopecurus aristulatus Michx."," ","","N"
"156","ALAEA","ALAEA","Poaceae","Alopecurus","aequalis","unknown","Alopecurus aequalis Sobol. var. aequalis","shortawn foxtail","","N"
"157","ALAEN","ALAEA","","Alopecurus","aequalis","unknown","Alopecurus aequalis Sobol. var. natans (Wahlenb.) Fern."," ","","N"
