,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
1063,UNDE,UNDE_054.basePlot.ltr,23,Y,304357.0725,5122914.513,16N,10,-10,304367,5122904,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1064,UNDE,UNDE_055.basePlot.ltr,39,Y,304446.9371,5122676.295,16N,-10,10,304436,5122686,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1065,UNDE,UNDE_055.basePlot.ltr,23,Y,304446.9371,5122676.295,16N,10,-10,304456,5122666,400,398,99.5,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1066,UNDE,UNDE_056.basePlot.ltr,23,Y,303904.9583,5122975.71,16N,10,-10,303914,5122965,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1067,UNDE,UNDE_056.basePlot.ltr,41,Y,303904.9583,5122975.71,16N,10,10,303914,5122985,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1068,UNDE,UNDE_057.basePlot.ltr,23,Y,304086.0166,5123218.484,16N,10,-10,304096,5123208,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1069,UNDE,UNDE_057.basePlot.ltr,21,Y,304086.0166,5123218.484,16N,-10,-10,304076,5123208,400,398,99.5,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1070,UNDE,UNDE_058.basePlot.ltr,41,Y,304233.8919,5122856.839,16N,10,10,304243,5122866,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1071,UNDE,UNDE_058.basePlot.ltr,23,Y,304233.8919,5122856.839,16N,10,-10,304243,5122846,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1072,UNDE,UNDE_059.basePlot.ltr,39,Y,304719.3278,5122797.049,16N,-10,10,304709,5122807,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1073,UNDE,UNDE_059.basePlot.ltr,23,Y,304719.3278,5122797.049,16N,10,-10,304729,5122787,400,399,99.75,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1074,UNDE,UNDE_060.basePlot.ltr,23,Y,304476.9465,5122885.764,16N,10,-10,304486,5122875,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1075,UNDE,UNDE_060.basePlot.ltr,21,Y,304476.9465,5122885.764,16N,-10,-10,304466,5122875,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1076,UNDE,UNDE_061.basePlot.ltr,23,Y,304535.3898,5123098.662,16N,10,-10,304545,5123088,400,396,99,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1077,UNDE,UNDE_061.basePlot.ltr,41,Y,304535.3898,5123098.662,16N,10,10,304545,5123108,400,397,99.25,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1078,UNDE,UNDE_065.basePlot.ltr,21,Y,304653.4449,5123426.103,16N,-10,-10,304643,5123416,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1079,UNDE,UNDE_065.basePlot.ltr,23,Y,304653.4449,5123426.103,16N,10,-10,304663,5123416,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1080,UNDE,UNDE_078.basePlot.ltr,39,Y,304803.9941,5123186.063,16N,-10,10,304793,5123196,400,398,99.5,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
